Year,ISO_Code,Countries,Size of Government,Legal System & Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
2017,QAT,Qatar,5.69,6.14,8.5,7.54,7.46
2017,ROU,Romania,6.99,6.13,9.37,8.43,7.48
2017,RUS,Russia,6.33,4.83,9.31,6.83,6.6
2017,RWA,Rwanda,5.25,6.92,9.18,7.11,7.84
2017,SAU,Saudi Arabia,5.2,5.3,8.97,6.32,6.82
2017,SDN,Sudan,7.64,3.03,4.4,2.31,5.95
2017,SEN,Senegal,7.02,4.28,7.22,6.7,5.63
2017,SGP,Singapore,7.2,8.22,9.85,9.29,8.98
2017,SLE,Sierra Leone,6.94,3.88,6.54,6.05,4.74
2017,SLV,El Salvador,8.41,3.57,9.85,7.63,6.33
2017,SRB,Serbia,6.37,5.03,8.24,7.62,7.17
2017,SUR,Suriname,6.37,4.69,7.24,7.22,7.73
2017,SVK,Slovak Rep,6.49,5.68,9.46,8.3,7.59
2017,SVN,Slovenia,5.25,6.22,9.41,7.9,6.98
2017,SWE,Sweden,4.54,7.75,9.3,8.18,8.05
2017,SWZ,Swaziland (Eswatini),5.25,4.88,7.72,7.01,7.74
2017,SYC,Seychelles,6.27,5.76,9.09,7.29,7.38
2017,SYR,Syria,5.72,3.24,5.93,4.97,5.37
2017,TCD,Chad,7.43,2.72,6.83,5.17,4.96
2017,TGO,Togo,6.51,5.24,6.98,5.67,6.63
2017,THA,Thailand,6.78,4.67,8.59,7.24,7
2017,TJK,Tajikistan,5.09,5.04,7.54,5.94,6.63
2017,TLS,Timor-Leste,4.45,3.27,8.11,7.78,6.33
2017,TTO,Trinidad & Tobago,5.4,4.56,9.11,7.81,6.6
2017,TUN,Tunisia,5.63,5.29,6.9,6.76,6.42
2017,TUR,Turkey,6.6,4.62,8.85,7.27,6.03
2017,TWN,Taiwan,7.38,6.76,9.75,7.73,7.64
2017,TZA,Tanzania,6.66,5.69,8.27,6.24,7
2017,UGA,Uganda,7.48,4.71,9.35,7.63,7.79
2017,UKR,Ukraine,7.16,4.44,4.99,6.78,6.44
2017,URY,Uruguay,6.32,5.23,9.04,7.86,6.8
2017,USA,United States,7.16,7.44,9.8,7.67,8.86
2017,VEN,Venezuela,4.58,1.98,0.69,3.18,2.49
2017,VNM,Vietnam,6.7,5,6.68,6.27,6.73
2017,YEM,"Yemen, Rep.",7.11,3.16,7.96,5.93,5.04
2017,ZAF,South Africa,5.77,5.05,8.17,6.87,7.2
2017,ZMB,Zambia,6.61,5.22,8.8,7.1,6.46
2017,ZWE,Zimbabwe,5.49,4.05,8.42,3.75,6.73
